,Unnamed: 0,Time,Media file path,Total length,FPS,Subject,Behavior,Behavioral category,Comment,Status
161,161,763.668,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
162,162,770.576,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
163,163,776.682,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
164,164,783.789,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
165,165,786.291,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
166,166,787.091,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
167,167,787.792,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
168,168,788.894,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
169,169,791.097,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
170,170,791.897,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
171,171,802.106,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
172,172,802.808,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
173,173,816.51,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
174,174,817.321,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Lead,Reproductive,,POINT
175,175,817.822,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Lead,Reproductive,,POINT
176,176,819.635,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
177,177,819.635,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
178,178,820.624,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
179,179,821.685,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
180,180,829.535,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
181,181,831.837,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
182,182,832.537,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
183,183,833.836,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
184,184,835.641,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
185,185,836.441,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Dig Substrate,Reproductive,,POINT
186,186,843.848,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
187,187,847.151,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
188,188,847.651,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Foraging,Reproductive,,POINT
189,189,854.92,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
190,190,857.844,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
191,191,857.862,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Chase,Aggressive,,POINT
192,192,859.663,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Lead,Reproductive,,POINT
193,193,862.695,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
194,194,863.768,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Lead,Reproductive,,POINT
195,195,863.768,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Biting,Aggressive,,POINT
196,196,866.195,"C:/Users/Biolab/Desktop/Dyad Score Log Data for Editing 1-6,8-19/Dyad Videos/AVI Converted/13.avi",3198.7,29.97,Dominant,Charge,Aggressive,,POINT
